output_filename,start_page,end_page
HoTT_1Foundations_1TypeTheory.pdf,37,90
HoTT_1Foundations_2HomotopyTypeTheory.pdf,91,152
HoTT_1Foundations_3SetsAndLogic.pdf,153,181
HoTT_1Foundations_4Equivalences.pdf,183,207
HoTT_1Foundations_5Induction.pdf,209,245
HoTT_1Foundations_6HigherInductiveTypes.pdf,247,298
HoTT_1Foundations_7HomotopyN-types.pdf,299,329
HoTT_2Mathematics_8HomotopyTheory.pdf,357,408
HoTT_2Mathematics_9CategoryTheory.pdf,409,450
HoTT_2Mathematics_10SetTheory.pdf,451,490
HoTT_2Mathematics_11RealNumbers.pdf,491,556
HoTT_3Appendix_FormalTypeTheory.pdf,559,580
HoTT_4Bibliography.pdf,581,591
HoTT_5IndexOfSymbols.pdf,593,599
HoTT_6Index.pdf,601,622
